P22000001,-78.58627918,35.7670533,53A,Southeast,2022-01-01,0:11:00,Damage to Property (Group A),RALEIGH,800 BLOCK COOPER RD
P22000002,-78.56057679,35.88294185,51C,Northeast,2022-01-01,0:04:00,Weapons/Shots Fired,RALEIGH,4700 BLOCK ARCHEAN WAY
P22000003,-78.61666026,35.7453023,51C,Southeast,2022-01-01,0:01:00,Weapons/Shots Fired,RALEIGH,2500 BLOCK EVERS DR
P22000004,-78.64733489,35.78491501,54Z,Downtown,2022-01-01,0:22:00,Drug Equipment/Paraphernalia,RALEIGH,600 BLOCK W NORTH ST
P22000004,-78.64733489,35.78491501,54D,Downtown,2022-01-01,0:22:00,Drug Violation/Misdemeanor,RALEIGH,600 BLOCK W NORTH ST
P22000004,-78.64733489,35.78491501,51A,Downtown,2022-01-01,0:22:00,Weapons/Carry Concealed Weapon,RALEIGH,600 BLOCK W NORTH ST
P22000005,-78.62488363,35.77338945,80B,Southeast,2022-01-01,0:34:00,All Other/Damage to Property (minor),RALEIGH,500 BLOCK FREEMAN ST
P22000006,-78.64777421,35.86990836,25G,North,2022-01-01,0:18:00,Assault/Aggravated,RALEIGH,700 BLOCK BENCHMARK DR
P22000006,-78.64777421,35.86990836,25E,North,2022-01-01,0:18:00,Assault/Simple,RALEIGH,700 BLOCK BENCHMARK DR
P22000007,-78.64718016,35.7879891,25E,Downtown,2022-01-01,0:12:00,Assault/Simple,RALEIGH,600 BLOCK GLENWOOD AVE
P22000008,-78.6344202,35.7876951,80B,Downtown,2022-01-01,0:26:00,All Other/Damage to Property (minor),RALEIGH,500 BLOCK N PERSON ST
P22000009,-78.64746346,35.78283339,51A,Downtown,2022-01-01,1:04:00,Weapons/Carry Concealed Weapon,RALEIGH,200 BLOCK GLENWOOD AVE
P22000010,-78.68535066,35.75101352,80B,Southwest,2022-01-01,0:47:00,All Other/Damage to Property (minor),RALEIGH,2800 BLOCK CRESTSCENE TRL
P22000011,-78.56804554,35.83474326,54Z,Northeast,2022-01-01,0:22:00,Drug Equipment/Paraphernalia,RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000011,-78.56804554,35.83474326,54C,Northeast,2022-01-01,0:22:00,Drug Violation/Felony,RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000011,-78.56804554,35.83474326,54D,Northeast,2022-01-01,0:22:00,Drug Violation/Misdemeanor,RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000011,-78.56804554,35.83474326,51A,Northeast,2022-01-01,0:22:00,Weapons/Carry Concealed Weapon,RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000011,-78.56804554,35.83474326,51B,Northeast,2022-01-01,0:22:00,Weapons/Illegal Possession of Weapon,RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000011,-78.56804554,35.83474326,80B,Northeast,2022-01-01,0:22:00,All Other/Damage to Property (minor),RALEIGH,OLD COACH RD  &  IRON HORSE RD
P22000012,-78.62461866,35.77521962,25E,Southeast,2022-01-01,0:51:00,Assault/Simple,RALEIGH,900 BLOCK E DAVIE ST
P22000013,-78.58040859,35.78511466,25E,Southeast,2022-01-01,0:25:00,Assault/Simple,RALEIGH,3000 BLOCK BUNNALLEY CT
P22000017,-78.56153549,35.73071159,51C,Southeast,2022-01-01,0:16:00,Weapons/Shots Fired,RALEIGH,5300 BLOCK COWAN LN
P22000018,-78.64564246,35.78619397,54D,Downtown,2022-01-01,1:50:00,Drug Violation/Misdemeanor,RALEIGH,500 BLOCK N WEST ST
P22000018,-78.64564246,35.78619397,51A,Downtown,2022-01-01,1:50:00,Weapons/Carry Concealed Weapon,RALEIGH,500 BLOCK N WEST ST
P22000018,-78.64564246,35.78619397,51B,Downtown,2022-01-01,1:50:00,Weapons/Illegal Possession of Weapon,RALEIGH,500 BLOCK N WEST ST
P22000019,-78.57565278,35.83538745,51C,Northeast,2022-01-01,1:39:00,Weapons/Shots Fired,RALEIGH,3700 BLOCK LEE RD
P22000021,-78.64582002,35.78278092,71A,Downtown,2022-01-01,1:54:00,Traffic/DWI (Driving While Impaired),RALEIGH,W JONES ST  &  N WEST ST
